author_follower_count,author_total_favorited,hashtag_count,duration_sec,publish_hour,publish_weekday,is_weekend,days_since_publish,author_verification_type,desc_text_length,has_desc_text,has_hashtag,label,engagement_score
4261775,46017383,3,1447,17,2,0,90,1.0,20,1,1,1,481265
64689,2286184,3,369,20,2,0,89,1.0,0,0,1,1,576633
286980,1506114,5,498,7,3,0,89,1.0,60,1,1,0,17471
2611333,11288699,4,271467,18,3,0,89,1.0,36,1,1,1,278449
34241,102864,5,489,17,4,0,88,1.0,36,1,1,0,39868
253282,1473463,5,337339,18,4,0,88,1.0,117,1,1,1,299418
31185,204740,5,306735,18,4,0,88,1.0,52,1,1,0,21621
1522550,24286942,5,239654,19,4,0,88,1.0,26,1,1,1,368883
100442,2087153,5,278567,20,4,0,87,1.0,43,1,1,0,33816
2013804,55028050,5,251984,10,5,1,87,1.0,47,1,1,1,508976
365281,10301092,0,1657,15,5,1,87,1.0,38,1,0,0,22788
33234,504666,4,466,17,5,1,87,1.0,66,1,1,0,26308
122524,1212443,2,478,16,6,1,86,1.0,10,1,1,1,868912
419843,3620210,6,266900,16,6,1,86,1.0,32,1,1,1,85392
1726595,40668541,4,402,17,6,1,86,1.0,28,1,1,1,113056
5253204,56789414,4,798,17,0,0,85,1.0,60,1,1,1,635595
657001,8890198,5,315490,20,0,0,84,1.0,33,1,1,1,529596
714594,5073620,4,259926,18,1,0,84,1.0,48,1,1,0,45299
345935,6213816,5,247851,20,1,0,83,1.0,63,1,1,0,9291
151123,1554038,5,181900,22,1,0,83,1.0,37,1,1,1,97655
207051,18113858,5,209367,15,2,0,83,1.0,57,1,1,1,1322744
296770,6399031,5,279434,18,2,0,83,1.0,33,1,1,0,15064
439385,2817456,5,306834,21,2,0,82,1.0,24,1,1,1,688383
84805,3511368,5,181255,16,3,0,82,1.0,59,1,1,0,14119
260631,3123704,2,287394,17,4,0,81,1.0,38,1,1,1,325000
6230878,98942804,4,825,17,4,0,81,1.0,108,1,1,1,480790
12951,752583,5,262267,17,4,0,81,1.0,28,1,1,1,149954
8115235,38451962,3,1590,11,5,1,80,1.0,44,1,1,1,1025391
1129283,15405944,4,1067,17,5,1,80,1.0,37,1,1,1,2505745
392671,3152432,4,426,18,5,1,80,1.0,97,1,1,0,1157
1534167,17784624,5,197740,13,6,1,79,1.0,27,1,1,1,185664
1206323,18525697,0,444,14,6,1,79,1.0,0,0,0,0,4799
823465,10265178,5,311474,18,6,1,79,1.0,35,1,1,1,248870
206201,2376686,0,409,8,0,0,78,1.0,0,0,0,0,1976
228018,2126582,5,484,19,0,0,78,1.0,59,1,1,1,112585
20486,136554,5,915,19,0,0,78,1.0,79,1,1,0,9961
23328,1266449,5,183137,17,1,0,77,1.0,39,1,1,0,17923
7649,207491,5,187502,15,3,0,75,1.0,34,1,1,0,11982
1030302,19884203,3,458,16,3,0,75,1.0,17,1,1,1,99959
3016149,21391763,2,308176,17,3,0,75,1.0,11,1,1,1,347759
