source_node_id,target_node_id,source_raw_id,target_raw_id,edge_type,is_reverse
0,553,video::7624873382114282803,author::64200561109,video_author,False
553,0,author::64200561109,video::7624873382114282803,video_author,True
1,554,video::7625140333864586559,author::96492518134,video_author,False
554,1,author::96492518134,video::7625140333864586559,video_author,True
2,555,video::7625266759122124394,author::97892361811,video_author,False
555,2,author::97892361811,video::7625266759122124394,video_author,True
3,556,video::7625382302234791183,author::3595870785247504,video_author,False
556,3,author::3595870785247504,video::7625382302234791183,video_author,True
4,557,video::7625492021486144777,author::63333709399,video_author,False
557,4,author::63333709399,video::7625492021486144777,video_author,True
5,558,video::7625531481825330537,author::106354111423,video_author,False
558,5,author::106354111423,video::7625531481825330537,video_author,True
6,559,video::7625546845988749440,author::633793014136968,video_author,False
559,6,author::633793014136968,video::7625546845988749440,video_author,True
7,560,video::7625929057691078053,author::3039476090415392,video_author,False
560,7,author::3039476090415392,video::7625929057691078053,video_author,True
8,561,video::7625931818142878995,author::438357cd-37c6-1039-bec7-897b1b0c451a,video_author,False
561,8,author::438357cd-37c6-1039-bec7-897b1b0c451a,video::7625931818142878995,video_author,True
9,562,video::7625943440111941754,author::63721794375,video_author,False
562,9,author::63721794375,video::7625943440111941754,video_author,True
10,563,video::7625983892776400448,author::3764327265343965,video_author,False
563,10,author::3764327265343965,video::7625983892776400448,video_author,True
11,564,video::7626039783856311604,author::3151644576458712,video_author,False
564,11,author::3151644576458712,video::7626039783856311604,video_author,True
12,565,video::7626119147679665427,author::62661317303,video_author,False
565,12,author::62661317303,video::7626119147679665427,video_author,True
13,566,video::7626232419351317796,author::703284873011213,video_author,False
566,13,author::703284873011213,video::7626232419351317796,video_author,True
14,567,video::7626285740250418473,author::7578804824733467685,video_author,False
567,14,author::7578804824733467685,video::7626285740250418473,video_author,True
15,568,video::7626294890775145403,author::2381997394894572,video_author,False
568,15,author::2381997394894572,video::7626294890775145403,video_author,True
16,569,video::7626305366351007011,author::732732988077836,video_author,False
569,16,author::732732988077836,video::7626305366351007011,video_author,True
17,561,video::7626584955816021274,author::438357cd-37c6-1039-bec7-897b1b0c451a,video_author,False
561,17,author::438357cd-37c6-1039-bec7-897b1b0c451a,video::7626584955816021274,video_author,True
18,570,video::7626684177663986971,author::99718787746,video_author,False
570,18,author::99718787746,video::7626684177663986971,video_author,True
19,571,video::7626700596619348401,author::59329163612,video_author,False
571,19,author::59329163612,video::7626700596619348401,video_author,True
20,572,video::7627061029150805302,author::3109036737170028,video_author,False
572,20,author::3109036737170028,video::7627061029150805302,video_author,True
21,573,video::7627071685094657299,author::7597737761702331441,video_author,False
573,21,author::7597737761702331441,video::7627071685094657299,video_author,True
22,574,video::7627097855253089579,author::4330305111468175,video_author,False
574,22,author::4330305111468175,video::7627097855253089579,video_author,True
23,575,video::7627138316899056603,author::3525448837659146,video_author,False
575,23,author::3525448837659146,video::7627138316899056603,video_author,True
24,576,video::7627193816662936883,author::731605969685483,video_author,False
576,24,author::731605969685483,video::7627193816662936883,video_author,True
25,577,video::7627326318220201258,author::64637072394,video_author,False
577,25,author::64637072394,video::7627326318220201258,video_author,True
26,578,video::7627338394946784563,author::993562960605839,video_author,False
578,26,author::993562960605839,video::7627338394946784563,video_author,True
27,579,video::7627416174665452806,author::599660525782585,video_author,False
579,27,author::599660525782585,video::7627416174665452806,video_author,True
28,580,video::7627417139495256057,author::71743945053,video_author,False
580,28,author::71743945053,video::7627417139495256057,video_author,True
29,581,video::7627431605422901425,author::3087896753472157,video_author,False
581,29,author::3087896753472157,video::7627431605422901425,video_author,True
30,582,video::7627441271367290164,author::2561178482012730,video_author,False
582,30,author::2561178482012730,video::7627441271367290164,video_author,True
31,583,video::7627472380595910747,author::1174708630333469,video_author,False
583,31,author::1174708630333469,video::7627472380595910747,video_author,True
32,584,video::7627472699962576166,author::1113146619342252,video_author,False
584,32,author::1113146619342252,video::7627472699962576166,video_author,True
33,585,video::7627626727761513778,author::60483127446,video_author,False
585,33,author::60483127446,video::7627626727761513778,video_author,True
34,586,video::7627693001658504421,author::71122359724,video_author,False
586,34,author::71122359724,video::7627693001658504421,video_author,True
35,587,video::7627771722061696308,author::4214869907237674,video_author,False
587,35,author::4214869907237674,video::7627771722061696308,video_author,True
36,588,video::7627790321199705009,author::51006864113548,video_author,False
588,36,author::51006864113548,video::7627790321199705009,video_author,True
37,589,video::7627792713907195190,author::2499623379545772,video_author,False
589,37,author::2499623379545772,video::7627792713907195190,video_author,True
38,590,video::7627796121867341075,author::2001555386803502,video_author,False
590,38,author::2001555386803502,video::7627796121867341075,video_author,True
39,591,video::7627822640091459546,author::100443192109,video_author,False
591,39,author::100443192109,video::7627822640091459546,video_author,True
40,592,video::7627886327517711651,author::2608478173538542,video_author,False
