node_id,raw_id,node_type,is_main_video,is_related_only_video,has_label,label,split
0,6773901168964798477,video,yes,no,yes,0,train
1,6773906068725565448,video,yes,no,yes,0,train
2,7289747189515980067,video,yes,no,yes,0,train
3,7361427727863385359,video,yes,no,yes,0,test
4,7396829450211446050,video,yes,no,yes,0,train
5,7434082518397226249,video,yes,no,yes,0,train
6,7436607919690484992,video,yes,no,yes,0,train
7,7436608563918769448,video,yes,no,yes,0,test
8,7444362506467872027,video,yes,no,yes,1,train
9,7446264878886554895,video,yes,no,yes,0,train
10,7446279061011303732,video,yes,no,yes,0,train
11,7454910938953698575,video,yes,no,yes,0,test
12,7465919739051642166,video,yes,no,yes,1,train
13,7468609439512235291,video,yes,no,yes,0,train
14,7471634760171834659,video,yes,no,yes,0,test
15,7473095677464136975,video,yes,no,yes,1,val
16,7476789346587151651,video,yes,no,yes,0,train
17,7483107090936941874,video,yes,no,yes,0,train
18,7485566382344588578,video,yes,no,yes,0,train
19,7486467317828816166,video,yes,no,yes,0,train
20,7513843872540233023,video,yes,no,yes,0,train
21,7514106819482045755,video,yes,no,yes,0,train
22,7517969543269059850,video,yes,no,yes,1,test
23,7518075611806551322,video,yes,no,yes,0,train
24,7520905099401497891,video,yes,no,yes,0,train
25,7520939828767132928,video,yes,no,yes,0,val
26,7523116377247321383,video,yes,no,yes,0,train
27,7531357712618114313,video,yes,no,yes,1,train
28,7532461688206085402,video,yes,no,yes,0,train
29,7533721108269321472,video,yes,no,yes,0,train
30,7536515789558451495,video,yes,no,yes,0,train
31,7542449576419020083,video,yes,no,yes,0,train
32,7542468244687293715,video,yes,no,yes,0,train
33,7542842698634431783,video,yes,no,yes,0,val
34,7542847691571744000,video,yes,no,yes,0,train
35,7543076811148676379,video,yes,no,yes,0,train
36,7543115485139782958,video,yes,no,yes,0,val
37,7543152714943876387,video,yes,no,yes,0,test
38,7543189889081249074,video,yes,no,yes,0,train
39,7543224564684197120,video,yes,no,yes,0,test
40,7543503016624655654,video,yes,no,yes,0,test
41,7543581458393337103,video,yes,no,yes,0,val
42,7543906254733823284,video,yes,no,yes,0,train
43,7544038150016929058,video,yes,no,yes,0,test
44,7544971601616424243,video,yes,no,yes,0,train
45,7545041840672623912,video,yes,no,yes,0,train
46,7545305886307241216,video,yes,no,yes,0,test
47,7545381758141795634,video,yes,no,yes,0,train
48,7545695756263410998,video,yes,no,yes,0,train
49,7546263863453289778,video,yes,no,yes,0,train
50,7546401851793575222,video,yes,no,yes,0,train
51,7546469954996948274,video,yes,no,yes,0,train
52,7547620359265209639,video,yes,no,yes,0,train
53,7547954215356779815,video,yes,no,yes,0,val
54,7547991038376299810,video,yes,no,yes,0,train
55,7548024723947474176,video,yes,no,yes,0,train
56,7548390561330367794,video,yes,no,yes,0,train
57,7548734306391215395,video,yes,no,yes,0,train
58,7548755625631665444,video,yes,no,yes,1,train
59,7549114173926509851,video,yes,no,yes,0,val
60,7551273257052163374,video,yes,no,yes,0,test
61,7554260809254178048,video,yes,no,yes,0,train
62,7562839428796861711,video,yes,no,yes,0,train
63,7563552305543482624,video,yes,no,yes,1,train
64,7563585523508399386,video,yes,no,yes,0,train
65,7563942642787126538,video,yes,no,yes,0,train
66,7564266010748964159,video,yes,no,yes,1,train
67,7566550506869493042,video,yes,no,yes,0,val
68,7567284867466071306,video,yes,no,yes,0,train
69,7568320604852473123,video,yes,no,yes,0,train
70,7568702566624808202,video,yes,no,yes,0,train
71,7568707871634885924,video,yes,no,yes,0,test
72,7569106505291631907,video,yes,no,yes,1,train
73,7569586392179707179,video,yes,no,yes,0,train
74,7572554930871864626,video,yes,no,yes,0,train
75,7592195553556057380,video,yes,no,yes,1,train
76,7603682013224817051,video,yes,no,yes,0,val
77,7603726437715656399,video,yes,no,yes,1,train
78,7603736558218300722,video,yes,no,yes,0,train
79,7603755400656393147,video,yes,no,yes,0,train
80,7603793573145742643,video,yes,no,yes,1,train
81,7603864787012881710,video,yes,no,yes,0,train
82,7603891979139719610,video,yes,no,yes,1,train
83,7603939586112244998,video,yes,no,yes,0,train
84,7603940317389229355,video,yes,no,yes,0,train
85,7603950842764447002,video,yes,no,yes,0,test
86,7603954576844246298,video,yes,no,yes,1,train
87,7603960114824300409,video,yes,no,yes,0,train
88,7603966638735510784,video,yes,no,yes,1,test
89,7603978036769295650,video,yes,no,yes,0,train
90,7603987685513907471,video,yes,no,yes,1,train
91,7604014713420270867,video,yes,no,yes,0,train
92,7604029611425653233,video,yes,no,yes,1,train
93,7604030384984182016,video,yes,no,yes,1,test
94,7604034088026066185,video,yes,no,yes,0,train
95,7604037287877397801,video,yes,no,yes,1,train
96,7604057676993039650,video,yes,no,yes,0,train
97,7604063810458782073,video,yes,no,yes,0,val
98,7604078137794949802,video,yes,no,yes,0,val
99,7604080177258684554,video,yes,no,yes,0,test
100,7604090131200412962,video,yes,no,yes,1,val
101,7604095920950545707,video,yes,no,yes,1,val
102,7604152238784695571,video,yes,no,yes,0,val
103,7604348803650522406,video,yes,no,yes,0,train
104,7604379602140161254,video,yes,no,yes,1,train
105,7604380985584585994,video,yes,no,yes,1,test
106,7604407723140735985,video,yes,no,yes,1,train
107,7604423054055214376,video,yes,no,yes,0,train
108,7604434310531140900,video,yes,no,yes,0,val
109,7604435852509855878,video,yes,no,yes,0,train
110,7604447279004536073,video,yes,no,yes,0,test
111,7604464497180429595,video,yes,no,yes,1,train
112,7604473704143146246,video,yes,no,yes,0,test
113,7604502587320539237,video,yes,no,yes,0,train
114,7604518913342688625,video,yes,no,yes,0,train
115,7604683041507708169,video,yes,no,yes,0,train
116,7604696082626399539,video,yes,no,yes,0,train
117,7604773826357972266,video,yes,no,yes,1,test
118,7604787367005719858,video,yes,no,yes,1,train
119,7604793145407602598,video,yes,no,yes,0,train
120,7604799847492881674,video,yes,no,yes,1,test
121,7604821651553427557,video,yes,no,yes,0,train
122,7604856005398236468,video,yes,no,yes,0,train
123,7604859830657895706,video,yes,no,yes,0,train
124,7604885085570406473,video,yes,no,yes,1,test
125,7604970219076979977,video,yes,no,yes,0,val
126,7605008048323319483,video,yes,no,yes,1,test
127,7605047371885577830,video,yes,no,yes,0,train
128,7605064229628585338,video,yes,no,yes,1,train
129,7605076911856832625,video,yes,no,yes,0,val
130,7605103373188189486,video,yes,no,yes,1,train
131,7605115313167912226,video,yes,no,yes,1,val
132,7605117328174501139,video,yes,no,yes,0,test
133,7605139587539239013,video,yes,no,yes,0,train
134,7605158000101182756,video,yes,no,yes,0,train
135,7605159795833703686,video,yes,no,yes,0,train
136,7605164093934275883,video,yes,no,yes,0,train
137,7605176499457732736,video,yes,no,yes,0,test
138,7605177000685447153,video,yes,no,yes,0,train
139,7605177045475917937,video,yes,no,yes,0,train
140,7605187692435807370,video,yes,no,yes,1,val
141,7605194095530741044,video,yes,no,yes,1,train
142,7605214796832787738,video,yes,no,yes,0,train
143,7605218796038638886,video,yes,no,yes,0,train
144,7605246076626521385,video,yes,no,yes,0,test
145,7605247823310834982,video,yes,no,yes,1,val
146,7605259543337061684,video,yes,no,yes,0,train
147,7605399688351542345,video,yes,no,yes,0,train
148,7605453761003212042,video,yes,no,yes,0,val
149,7605477912359357705,video,yes,no,yes,0,train
150,7605501208069798863,video,yes,no,yes,1,train
151,7605521309665168703,video,yes,no,yes,0,train
152,7605537545136475444,video,yes,no,yes,0,val
153,7605541782989901092,video,yes,no,yes,0,train
154,7605557499852279040,video,yes,no,yes,0,train
155,7605598509676632433,video,yes,no,yes,0,train
156,7605623331803621233,video,yes,no,yes,1,train
157,7605624352293534821,video,yes,no,yes,0,val
158,7605626172835237129,video,yes,no,yes,1,val
159,7605776314468994355,video,yes,no,yes,0,train
160,7605800817559391531,video,yes,no,yes,1,train
161,7605810387035901225,video,yes,no,yes,1,train
162,7605824588253380550,video,yes,no,yes,1,train
163,7605844825748966696,video,yes,no,yes,1,train
164,7605877215523310890,video,yes,no,yes,0,train
165,7605898178700856618,video,yes,no,yes,0,train
166,7605903654689041594,video,yes,no,yes,0,train
167,7605918627308555526,video,yes,no,yes,0,train
168,7605919134269984051,video,yes,no,yes,0,val
169,7605932170264602489,video,yes,no,yes,0,val
170,7605934698338045220,video,yes,no,yes,0,train
171,7605935152887352591,video,yes,no,yes,0,test
172,7605961087145757958,video,yes,no,yes,0,train
173,7605968387344465829,video,yes,no,yes,0,val
174,7605971905669041435,video,yes,no,yes,0,train
175,7605989814269201664,video,yes,no,yes,0,train
176,7605990487618506025,video,yes,no,yes,1,val
177,7606067998448782644,video,yes,no,yes,1,train
178,7606158290820949946,video,yes,no,yes,0,test
179,7606165999628389683,video,yes,no,yes,0,train
180,7606232664923786559,video,yes,no,yes,1,train
181,7606239429388193024,video,yes,no,yes,0,train
182,7606243602649353535,video,yes,no,yes,0,test
183,7606259601511599396,video,yes,no,yes,1,train
184,7606264908308663571,video,yes,no,yes,0,test
185,7606275186920361251,video,yes,no,yes,0,test
186,7606278219394155643,video,yes,no,yes,1,test
187,7606283356012041125,video,yes,no,yes,0,train
188,7606284279789653257,video,yes,no,yes,1,val
189,7606290231008520098,video,yes,no,yes,0,val
190,7606295612183801777,video,yes,no,yes,0,train
191,7606302699990028258,video,yes,no,yes,1,test
192,7606319324428569892,video,yes,no,yes,1,train
193,7606331367487589673,video,yes,no,yes,0,train
194,7606346439869992242,video,yes,no,yes,0,train
195,7606349636491611443,video,yes,no,yes,1,val
196,7606380479705178852,video,yes,no,yes,0,train
197,7606383187849235746,video,yes,no,yes,0,train
198,7606384642156924211,video,yes,no,yes,1,train
199,7606407139141127470,video,yes,no,yes,0,train
200,7606414751400234266,video,yes,no,yes,0,train
201,7606527719412698422,video,yes,no,yes,1,train
202,7606540682399976740,video,yes,no,yes,0,train
203,7606556203392437547,video,yes,no,yes,1,train
204,7606566218174057737,video,yes,no,yes,0,train
205,7606572153726713434,video,yes,no,yes,0,val
206,7606572971809366863,video,yes,no,yes,0,train
207,7606583802420317455,video,yes,no,yes,1,train
208,7606600144997420323,video,yes,no,yes,1,train
209,7606617583911046426,video,yes,no,yes,0,train
210,7606621917005875898,video,yes,no,yes,0,train
211,7606639650555948731,video,yes,no,yes,1,train
212,7606640466682989834,video,yes,no,yes,1,test
213,7606641301550927119,video,yes,no,yes,1,val
214,7606648180420382308,video,yes,no,yes,0,val
215,7606654055909297458,video,yes,no,yes,0,val
216,7606654935949741318,video,yes,no,yes,1,train
217,7606656344929733951,video,yes,no,yes,1,train
218,7606662776861363465,video,yes,no,yes,1,train
219,7606666821290249515,video,yes,no,yes,0,train
220,7606668586329053029,video,yes,no,yes,1,val
221,7606670021040885018,video,yes,no,yes,1,train
222,7606690770556423474,video,yes,no,yes,1,train
223,7606853655270116644,video,yes,no,yes,0,val
224,7606888429342805275,video,yes,no,yes,1,val
225,7606910621250158523,video,yes,no,yes,0,train
226,7606989723680247066,video,yes,no,yes,0,train
227,7607009329589780857,video,yes,no,yes,1,val
228,7607025316766272819,video,yes,no,yes,1,train
229,7607042202937625919,video,yes,no,yes,1,val
230,7607062887407914278,video,yes,no,yes,0,train
231,7607064812492688655,video,yes,no,yes,0,val
232,7607076791609541236,video,yes,no,yes,0,train
233,7607089096900611369,video,yes,no,yes,0,val
234,7607089649906948593,video,yes,no,yes,0,train
