field_name,expected_table,priority,in_output,non_null_count,total_rows,non_null_rate,sample_values,deprecated_old_name,mapped_to,notes
admire_count,raw_video_detail,P2,yes,6,10,60%,0,no,,
author_follower_count,raw_author,P1,yes,6,10,60%,895517,no,,
author_id,raw_author,P0,yes,10,10,100%,105103838174,no,,
author_name,raw_author,P1,yes,10,10,100%,,no,,
author_page_url,other,-,yes,9,10,90%,https://www.douyin.com/user/MS4wLjABAAAAYokhxSv-FEBNnpiWOnybAXVU3DYt6-WrpmX7i4jn,no,,
author_signature,raw_author,P1,yes,6,10,60%,"



",no,,
author_total_favorited,raw_author,P1,yes,6,10,60%,20337828,no,,
author_verification_type,raw_author,P1,yes,6,10,60%,1,no,,
aweme_type,raw_video_detail,P1,yes,6,10,60%,0,no,,
caption,raw_video_detail,P1,yes,6,10,60%,# # # # #,no,,
collect_count,raw_video_detail,P1,yes,6,10,60%,8546,no,,
comment_count,raw_video_detail,P1,yes,6,10,60%,495,no,,
comment_count_raw,raw_video_detail,P1,yes,6,10,60%,495,yes,comment_count,"deprecated old name, mapped_to=comment_count"
comment_gid,raw_video_detail,P1,yes,6,10,60%,7622473264698314036,no,,
confidence,quality,P0,yes,10,10,100%,high,no,,
cover_uri,raw_video_media,P2,yes,6,10,60%,image-cut-tos-priv/1e7a84a69e9fedbeed8e9634d2c5fdbf,no,,
cover_url_list,raw_video_media,P1,yes,6,10,60%,https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expire,no,,
crawl_time,raw_video_detail,P0,yes,10,10,100%,2026-05-06 14:55:02.929421,no,,
create_time,raw_video_detail,P1,yes,10,10,100%,1774753080,no,,
custom_verify,raw_author,P2,yes,0,10,0%,,no,,most users have empty custom_verify
desc,raw_video_detail,P1,yes,10,10,100%,,no,,
desc_text,other,-,yes,10,10,100%,# # # # #,no,,
digg_count,raw_video_detail,P1,yes,6,10,60%,22101,no,,
duration_ms,raw_video_detail,P1,yes,6,10,60%,986,no,,
dynamic_cover_height,raw_video_media,P2,yes,6,10,60%,720,no,,
dynamic_cover_uri,raw_video_media,P2,yes,6,10,60%,tos-cn-i-dy/f511f50be3ef44ee954be3c643082223,no,,
dynamic_cover_url,raw_video_media,P1,yes,6,10,60%,tos-cn-i-dy/f511f50be3ef44ee954be3c643082223,yes,dynamic_cover_url_list,"deprecated old name, mapped_to=dynamic_cover_url_list"
dynamic_cover_url_list,raw_video_media,P1,yes,6,10,60%,tos-cn-i-dy/f511f50be3ef44ee954be3c643082223,no,,
dynamic_cover_width,raw_video_media,P2,yes,6,10,60%,720,no,,
enterprise_verify_reason,raw_author,P2,yes,0,10,0%,,no,,most users not enterprise verified
group_id,raw_video_detail,P1,yes,6,10,60%,7616065445984062755,no,,
hashtag_count,raw_video_detail,P1,yes,10,10,100%,5,no,,
hashtag_list,raw_video_detail,P1,yes,10,10,100%,"['', '', '', '', '']",no,,
is_ads,raw_video_detail,P1,yes,6,10,60%,False,no,,
is_life_item,raw_video_detail,P1,yes,6,10,60%,False,no,,
is_original_sound,raw_music,P2,yes,6,10,60%,False,no,,
is_primary_match,quality,P0,yes,10,10,100%,True,no,,
is_top,raw_video_detail,P1,yes,6,10,60%,0,no,,
item_title,raw_video_detail,P1,yes,6,10,60%,,no,,
match_type,quality,P0,yes,10,10,100%,exact,no,,
matched_object_id,quality,P0,yes,6,10,60%,7622473264698314036,no,,
media_type,raw_video_detail,P1,yes,6,10,60%,4,no,,
music_author,raw_music,P1,yes,6,10,60%,,no,,
music_duration,raw_music,P1,yes,6,10,60%,986,no,,
music_id,raw_music,P1,yes,6,10,60%,7622473545662073654,no,,
music_name,raw_music,P1,yes,9,10,90%,@,no,,
music_owner_id,raw_music,P1,yes,6,10,60%,105103838174,no,,
music_owner_nickname,raw_music,P1,yes,5,10,50%,,no,,
music_title,raw_music,P1,yes,6,10,60%,@,no,,
origin_cover_height,raw_video_media,P2,yes,6,10,60%,360,no,,
origin_cover_uri,raw_video_media,P2,yes,6,10,60%,tos-cn-p-0015/ogkYINiz2DAydvzRXHFeA9pADAKgCByyI7faIE,no,,
