table_name,field_name,data_dictionary_type,data_dictionary_source,sample0427_has,current_crawler_has,current_status,priority,notes
raw_video_detail,video_id,string,aweme_detail.aweme_id,是,是,已提取,高,主键
raw_video_detail,sec_item_id,string,aweme_detail.video.sec_item_id,是(全空),否,缺失,高,当前merged_fields未包含
raw_video_detail,group_id,int64,aweme_detail.group_id,是,否,缺失,高,当前merged_fields未包含
raw_video_detail,comment_gid,int64,aweme_detail.comment_gid,是,否,缺失,中,评论关联ID
raw_video_detail,page_url,string,构造字段,是,是,已提取,高,
raw_video_detail,share_url,string,aweme_detail.share_url,是(全空),否,缺失,中,网页端可能为空
raw_video_detail,caption,string,aweme_detail.desc,是,是(as desc_text),已提取,高,当前映射为desc_text
raw_video_detail,desc,string,aweme_detail.desc,是,是(as desc_text),已提取,中,与caption同字段
raw_video_detail,preview_title,string,aweme_detail.preview_title,是(全空),否,缺失,低,
raw_video_detail,item_title,string,aweme_detail.item_title,是(全空),否,缺失,低,
raw_video_detail,create_time,int64,aweme_detail.create_time,是,是,已提取,高,命名合规
raw_video_detail,duration_ms,int64,aweme_detail.duration,是,是,已提取,高,命名合规
raw_video_detail,aweme_type,int64,aweme_detail.aweme_type,是,否,缺失,中,
raw_video_detail,media_type,int64,aweme_detail.media_type,是,否,缺失,中,
raw_video_detail,region,string,aweme_detail.region,是,否,缺失,中,
raw_video_detail,is_top,int64,aweme_detail.is_top,是,否,缺失,中,
raw_video_detail,is_ads,bool,aweme_detail.is_ads,是,否,缺失,中,
raw_video_detail,is_life_item,bool,aweme_detail.is_life_item,是,否,缺失,低,
raw_video_detail,original,int64,aweme_detail.original,是,否,缺失,中,
raw_video_detail,shoot_way,string,aweme_detail.shoot_way,是(全空),否,缺失,低,
raw_video_detail,digg_count,int64,aweme_detail.statistics.digg_count,是,是,已提取,高,命名合规
raw_video_detail,comment_count,int64,aweme_detail.statistics.comment_count,是,是(as comment_count_raw),需重命名,高,当前为comment_count_raw
raw_video_detail,share_count,int64,aweme_detail.statistics.share_count,是,是(as share_count_raw),需重命名,高,当前为share_count_raw
raw_video_detail,collect_count,int64,aweme_detail.statistics.collect_count,是,是,已提取,高,
raw_video_detail,play_count,int64,aweme_detail.statistics.play_count,是,否,缺失,高,网页端经常为0但应保留
raw_video_detail,recommend_count,int64,aweme_detail.statistics.recommend_count,是,否,缺失,低,
