table_name,column_index,field_name,non_null_count,total_rows,fill_rate,data_dictionary_type,sample0427_type,alignment,notes
raw_video_detail,0,video_id,79,79,100.0%,string,int64,type_mismatch,Pandas int64 inference
raw_video_detail,1,sec_item_id,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_detail,2,group_id,79,79,100.0%,int64,int64,aligned,
raw_video_detail,3,comment_gid,79,79,100.0%,int64,int64,aligned,
raw_video_detail,4,page_url,79,79,100.0%,string,string,aligned,
raw_video_detail,5,share_url,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_detail,6,caption,77,79,97.5%,string,string,aligned,
raw_video_detail,7,desc,77,79,97.5%,string,string,aligned,
raw_video_detail,8,preview_title,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_detail,9,item_title,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_detail,10,create_time,79,79,100.0%,int64,int64,aligned,
raw_video_detail,11,duration_ms,79,79,100.0%,int64,int64,aligned,correct ms values 381-351944
raw_video_detail,12,aweme_type,79,79,100.0%,int64,int64,aligned,
raw_video_detail,13,media_type,79,79,100.0%,int64,int64,aligned,
raw_video_detail,14,region,79,79,100.0%,string,string,aligned,
raw_video_detail,15,is_top,79,79,100.0%,int64,int64,aligned,
raw_video_detail,16,is_ads,79,79,100.0%,bool,bool,aligned,
raw_video_detail,17,is_life_item,79,79,100.0%,bool,bool,aligned,
raw_video_detail,18,original,79,79,100.0%,int64,int64,aligned,
raw_video_detail,19,shoot_way,0,79,0.0%,string,float64,empty_column,whole column empty
raw_video_detail,20,digg_count,79,79,100.0%,int64,int64,aligned,
raw_video_detail,21,comment_count,79,79,100.0%,int64,int64,aligned,
raw_video_detail,22,share_count,79,79,100.0%,int64,int64,aligned,
raw_video_detail,23,collect_count,79,79,100.0%,int64,int64,aligned,
raw_video_detail,24,play_count,79,79,100.0%,int64,int64,aligned,all 0 (web often returns 0)
raw_video_detail,25,recommend_count,79,79,100.0%,int64,int64,aligned,
raw_video_detail,26,admire_count,79,79,100.0%,int64,int64,aligned,
raw_video_detail,27,crawl_time,79,79,100.0%,string,string,aligned,
raw_video_detail,28,primary_source_key,79,79,100.0%,string,int64,type_mismatch,Pandas int64 inference
raw_video_detail,29,author_id,79,79,100.0%,NOT_IN_SCHEMA,int64,extra_field,not in data_dictionary.md
raw_author,0,author_id,78,78,100.0%,string,int64,type_mismatch,Pandas int64 inference
raw_author,1,author_user_id,78,78,100.0%,int64,int64,aligned,
raw_author,2,sec_uid,78,78,100.0%,string,string,synthetic_value,rule-generated SHA256
raw_author,3,unique_id,78,78,100.0%,string,string,synthetic_value,rule-generated MD5
raw_author,4,short_id,0,78,0.0%,string,float64,empty_column,whole column empty
raw_author,5,nickname,78,78,100.0%,string,string,aligned,
raw_author,6,signature,74,78,94.9%,string,string,aligned,
raw_author,7,follower_count,78,78,100.0%,int64,int64,aligned,
raw_author,8,total_favorited,78,78,100.0%,int64,int64,aligned,
raw_author,9,favoriting_count,78,78,100.0%,int64,int64,aligned,some -1 placeholder
raw_author,10,following_count,78,78,100.0%,int64,int64,aligned,some -1 placeholder
raw_author,11,verification_type,78,78,100.0%,int64,int64,aligned,
raw_author,12,custom_verify,0,78,0.0%,string,float64,empty_column,whole column empty
raw_author,13,enterprise_verify_reason,0,78,0.0%,string,float64,empty_column,whole column empty
raw_author,14,avatar_thumb_url_list,0,78,0.0%,ARRAY<string>,string,empty_column,stored as empty string '[]'
raw_author,15,cover_url_list,0,78,0.0%,ARRAY<string>,string,empty_column,stored as empty string '[]'
raw_author,16,author_status,78,78,100.0%,int64,int64,aligned,
raw_author,17,author_secret,78,78,100.0%,int64,int64,aligned,
raw_author,18,author_prevent_download,78,78,100.0%,bool,bool,aligned,
raw_author,19,crawl_time,78,78,100.0%,string,string,aligned,
raw_music,0,video_id,79,79,100.0%,string,int64,type_mismatch,foreign key
raw_music,1,music_title,78,79,98.7%,string,string,aligned,
raw_music,2,music_author,56,79,70.9%,string,string,aligned,
raw_music,3,music_id,79,79,100.0%,string/int,int64,synthetic_value,MD5 hashed
raw_music,4,music_mid,0,79,0.0%,string/int,float64,empty_column,whole column empty
raw_music,5,music_owner_id,0,79,0.0%,string,float64,empty_column,whole column empty
raw_music,6,music_owner_nickname,56,79,70.9%,string,string,aligned,
raw_music,7,music_duration,79,79,100.0%,int64,int64,placeholder,all -1
raw_music,8,music_shoot_duration,79,79,100.0%,int64,int64,placeholder,all -1
raw_music,9,is_original_sound,79,79,100.0%,bool,bool,aligned,
raw_music,10,is_commerce_music,79,79,100.0%,bool,bool,aligned,
raw_music,11,music_status,79,79,100.0%,int64,int64,aligned,all 1
raw_music,12,music_collect_count,79,79,100.0%,int64,int64,placeholder,all -1
raw_music,13,music_cover_url_list,0,79,0.0%,ARRAY<string>,string,empty_column,empty string '[]'
raw_music,14,music_play_url_list,0,79,0.0%,ARRAY<string>,string,empty_column,empty string '[]'
raw_music,15,crawl_time,79,79,100.0%,string,string,aligned,
raw_hashtag,0,video_id,264,264,100.0%,string,int64,type_mismatch,foreign key
raw_hashtag,1,hashtag_id,264,264,100.0%,string,int64,synthetic_value,MD5 hashed
raw_hashtag,2,hashtag_name,264,264,100.0%,string,string,aligned,
raw_hashtag,3,hashtag_type,264,264,100.0%,int64,int64,aligned,
raw_hashtag,4,is_commerce,264,264,100.0%,bool,bool,aligned,
raw_hashtag,5,caption_start,264,264,100.0%,int64,int64,placeholder,all -1
raw_hashtag,6,caption_end,264,264,100.0%,int64,int64,placeholder,all -1
raw_hashtag,7,start,264,264,100.0%,int64,int64,aligned,
raw_hashtag,8,end,264,264,100.0%,int64,int64,aligned,
raw_hashtag,9,crawl_time,264,264,100.0%,string,string,aligned,
raw_video_tag,0,video_id,162,162,100.0%,string,int64,type_mismatch,foreign key
raw_video_tag,1,tag_id,162,162,100.0%,int,string,synthetic_value,TAG_LIFESTYLE style strings
raw_video_tag,2,tag_name,162,162,100.0%,string,string,synthetic_value,12 predefined categories
