table_name,field_name,priority,source_path_or_hint,extracted_in_code,output_field_name,is_deprecated_name,allow_null,notes
raw_video_detail,video_id,P0,url_extraction / aweme_detail.aweme_id,yes,video_id,false,false,主键字段
raw_video_detail,page_url,P0,采集入口URL,yes,page_url,false,false,构造字段
raw_video_detail,crawl_time,P0,采集程序生成,yes,crawl_time,false,false,采集程序生成
raw_video_detail,sec_item_id,P1,aweme_detail.sec_item_id,yes,sec_item_id,false,true,新增提取
raw_video_detail,group_id,P1,aweme_detail.group_id,yes,group_id,false,true,新增提取
raw_video_detail,comment_gid,P1,aweme_detail.comment_gid,yes,comment_gid,false,true,新增提取
raw_video_detail,share_url,P1,aweme_detail.share_url,yes,share_url,false,true,新增提取
raw_video_detail,caption,P1,aweme_detail.caption,yes,caption,false,true,新增提取
raw_video_detail,desc,P1,aweme_detail.desc,yes,desc,false,true,新增提取
raw_video_detail,preview_title,P1,aweme_detail.preview_title,partial,preview_title,false,true,field_configs已添加
raw_video_detail,item_title,P1,aweme_detail.item_title,partial,item_title,false,true,field_configs已添加
raw_video_detail,create_time,P1,aweme_detail.create_time,yes,create_time,false,true,已正确提取
raw_video_detail,duration_ms,P1,aweme_detail.duration,yes,duration_ms,false,true,已正确提取
raw_video_detail,aweme_type,P1,aweme_detail.aweme_type,partial,aweme_type,false,true,field_configs已添加
raw_video_detail,media_type,P1,aweme_detail.media_type,partial,media_type,false,true,field_configs已添加
raw_video_detail,region,P1,aweme_detail.region,partial,region,false,true,field_configs已添加
raw_video_detail,is_top,P1,aweme_detail.is_top,partial,is_top,false,true,field_configs已添加
raw_video_detail,is_ads,P1,aweme_detail.is_ads,partial,is_ads,false,true,bool类型
raw_video_detail,original,P1,aweme_detail.original,partial,original,false,true,field_configs已添加
raw_video_detail,digg_count,P1,aweme_detail.statistics.digg_count,yes,digg_count,false,true,已正确提取
raw_video_detail,comment_count,P1,aweme_detail.statistics.comment_count,yes,comment_count,false,true,新增正确命名输出
raw_video_detail,comment_count_raw,P1,aweme_detail.statistics.comment_count,yes,comment_count_raw,true,true,旧名保留兼容
raw_video_detail,share_count,P1,aweme_detail.statistics.share_count,yes,share_count,false,true,新增正确命名输出
raw_video_detail,share_count_raw,P1,aweme_detail.statistics.share_count,yes,share_count_raw,true,true,旧名保留兼容
raw_video_detail,collect_count,P1,aweme_detail.statistics.collect_count,yes,collect_count,false,true,已正确提取
raw_video_detail,play_count,P1,aweme_detail.statistics.play_count,yes,play_count,false,true,网页端经常返回0
raw_video_detail,recommend_count,P2,aweme_detail.statistics.recommend_count,partial,recommend_count,false,true,P2字段
raw_video_detail,admire_count,P2,aweme_detail.statistics.admire_count,partial,admire_count,false,true,P2字段
raw_video_detail,shoot_way,P3,aweme_detail.shoot_way,partial,shoot_way,false,true,P3字段
raw_video_detail,is_life_item,P3,aweme_detail.is_life_item,partial,is_life_item,false,true,P3字段
raw_author,author_id,P0,aweme_detail.author.uid,yes,author_id,false,false,主键字段
raw_author,crawl_time,P0,采集程序生成,yes,crawl_time,false,false,采集程序生成
raw_author,sec_uid,P1,aweme_detail.author.sec_uid,yes,sec_uid,false,true,新增提取
raw_author,nickname,P1,aweme_detail.author.nickname,yes,author_name,true,true,旧名author_name
raw_author,nickname,P1,aweme_detail.author.nickname,yes,nickname,false,true,新增正确命名输出
raw_author,signature,P1,aweme_detail.author.signature,yes,author_signature,true,true,旧名author_signature
raw_author,follower_count,P1,aweme_detail.author.follower_count,yes,author_follower_count,true,true,旧名author_follower_count
raw_author,total_favorited,P1,aweme_detail.author.total_favorited,yes,author_total_favorited,true,true,旧名author_total_favorited
raw_author,unique_id,P1,aweme_detail.author.unique_id,yes,unique_id,false,true,新增提取
raw_author,short_id,P1,aweme_detail.author.short_id,partial,short_id,false,true,field_configs已添加
raw_author,author_user_id,P2,aweme_detail.author_user_id,partial,author_user_id,false,true,field_configs未添加
raw_author,custom_verify,P2,aweme_detail.author.custom_verify,yes,custom_verify,false,true,新增提取
raw_author,enterprise_verify_reason,P2,aweme_detail.author.enterprise_verify_reason,yes,enterprise_verify_reason,false,true,新增提取
raw_author,favoriting_count,P2,aweme_detail.author.favoriting_count,partial,favoriting_count,false,true,field_configs已添加
raw_author,following_count,P2,aweme_detail.author.following_count,partial,following_count,false,true,field_configs已添加
raw_music,video_id,P0,构造字段(通过video_detail),yes,video_id,false,false,构造字段
raw_music,crawl_time,P0,采集程序生成,yes,crawl_time,false,false,采集程序生成
raw_music,music_id,P1,aweme_detail.music.id_str,yes,music_id,false,true,新增提取
raw_music,music_title,P1,aweme_detail.music.title,yes,music_title,false,true,新增正确命名输出
raw_music,music_name,P1,aweme_detail.music.title,yes,music_name,true,true,旧名保留兼容
raw_music,music_author,P1,aweme_detail.music.author,yes,music_author,false,true,新增提取
raw_music,music_duration,P1,aweme_detail.music.duration,yes,music_duration,false,true,新增提取
raw_music,music_owner_id,P1,aweme_detail.music.owner_id,partial,music_owner_id,false,true,field_configs已添加
raw_music,music_owner_nickname,P1,aweme_detail.music.owner_nickname,partial,music_owner_nickname,false,true,field_configs已添加
