video_id,page_url,author_id,publish_time_raw,crawl_time,author_follower_count,author_total_favorited,hashtag_count,duration_sec,collect_count,like_count_num,comment_count_num,share_count_num,publish_hour,publish_weekday,is_weekend,days_since_publish,source_entry,match_type,confidence,author_verification_type,desc_text,author_name,hashtag_list,desc_text_length,has_desc_text,has_hashtag
6773901168964798477,https://www.douyin.com/video/6773901168964798477,f14b0c82-e6b2-36d4-f235-c42f6d0e340d,1776771471109,2026-04-21 19:47:09.500828,-1,-1,0,0,0,0,0,0,19,1,0,0,manual_url,exact,high,nan,- 抖音电商直播间带货榜是根据真实数据进行排名的直播间排行榜，希望帮助消费者通过榜单找到正在直播的好商品，让选择更简单。直播间排名越靠前曝光机会越大。,我的,[],75,1,0
6773906068725565448,https://www.douyin.com/video/6773906068725565448,f14b0c82-e6b2-36d4-f235-c42f6d0e340d,1776771471109,2026-04-21 19:47:15.174643,-1,-1,0,0,0,0,0,0,19,1,0,0,manual_url,exact,high,nan,- 抖音电商直播间带货榜是根据真实数据进行排名的直播间排行榜，希望帮助消费者通过榜单找到正在直播的好商品，让选择更简单。直播间排名越靠前曝光机会越大。,我的,[],75,1,0
7597644971830676771,https://www.douyin.com/video/7597644971830676771,105151296160,1769239071,2026-04-21 19:47:17.139930,365281,10301092,0,1657,4668,5788,297,3535,15,5,1,87,manual_url,exact,high,1.0,#暑期影视漫游企划#暑期档情报局#甄嬛传十级观众#甄嬛传解说#原创解说上热门,Amy,[],38,1,0
7597669301147779441,https://www.douyin.com/video/7597669301147779441,60592221635,1769992199,2026-04-21 19:47:22.245359,206201,2376686,0,409,373,18,257,349,8,0,0,78,manual_url,exact,high,1.0,{},狂吃碳水化合物,[],0,0,0
7597707131379148409,https://www.douyin.com/video/7597707131379148409,2852562902715588,1768986583,2026-04-21 19:47:32.740090,4261775,46017383,3,1447,15329,235763,6621,100801,17,2,0,90,manual_url,exact,high,1.0,#妈呀太香了 #唯品会 #唯品会新春特卖,传说中的蕙蕙,"['妈呀太香了', '唯品会', '唯品会新春特卖']",20,1,1
7597740490842925562,https://www.douyin.com/video/7597740490842925562,88305901531,1769038800,2026-04-21 19:47:40.844074,286980,1506114,5,498,2043,10731,252,1075,7,3,0,89,manual_url,exact,high,1.0,有钱真的可以为所欲为吗？这里的筛选机制过于严苛了#逗哥游世界 #韩国夜生活 #首尔夜生活  #首尔旅行 #春节旅行好去处,逗哥游世界,"['逗哥游世界', '韩国夜生活', '首尔夜生活', '首尔旅行', '春节旅行好去处']",60,1,1
7597796630277204197,https://www.douyin.com/video/7597796630277204197,1768448196346648,1768999881,2026-04-21 19:47:46.846701,64689,2286184,3,369,77015,133293,6023,138632,20,2,0,89,manual_url,exact,high,1.0,,七七超正,"['南京美食', '南京', '南京旅游']",0,0,1
7598135403585031466,https://www.douyin.com/video/7598135403585031466,3302530134575383,1769078786,2026-04-21 19:47:54.700490,2611333,11288699,4,271467,53682,132017,4516,15018,18,3,0,89,manual_url,exact,high,1.0,#reaction #吐槽 #精神状态belike #青年创作者成长计划,机智的呆狗,"['reaction', '吐槽', '精神状态belike', '青年创作者成长计划']",36,1,1
7598432512244068709,https://www.douyin.com/video/7598432512244068709,2500724502040912,1769162400,2026-04-21 19:48:11.271994,253282,1473463,5,337339,35441,172318,1579,26530,18,4,0,88,manual_url,exact,high,1.0,"下初雪了❄️大家许愿啦嘛^o^
这周糖醋排骨很成功！特别好吃！大家可以根据这个配方去试试！
本周菜单：
黑松露煎焗鸡
糖醋排骨（超好吃版）
孜然土豆牛肉
番茄炒蛋
#抖音美食创作者 #我的厨房日记 #一周备餐 #自制预制菜 #黑松露酱",泡泡喵喵,"['抖音美食创作者', '我的厨房日记', '一周备餐', '自制预制菜', '黑松露酱']",117,1,1
7598491119055293730,https://www.douyin.com/video/7598491119055293730,2252273971889757,1769161592,2026-04-21 19:48:23.817217,34241,102864,5,489,2569,25956,1524,2863,17,4,0,88,manual_url,exact,high,1.0,#自改房车 #床车旅行 #旅行生活 #诗与远方 #在拍一种很新的vlog,阿祥的自由旅行,"['自改房车', '床车旅行', '旅行生活', '诗与远方', '在拍一种很新的vlog']",36,1,1
