video_id,crawl_time,cover_uri,cover_url_list,cover_width,cover_height,origin_cover_uri,origin_cover_url_list,origin_cover_width,origin_cover_height,dynamic_cover_uri,dynamic_cover_url_list,dynamic_cover_width,dynamic_cover_height,video_width,video_height,video_format,video_ratio,is_h265,is_long_video,has_watermark,bit_rate_raw,big_thumbs_raw,video_meta_raw
7599221715415092507,2026-05-07 18:35:33.268410,image-cut-tos-priv/f985bfd38f9e9353cd328ca1e879c154,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oAv1bba3JIwyPIQAPXZ0Bc3AtiKAXBAiIIEW3,"[""tos-cn-p-0015/oAv1bba3JIwyPIQAPXZ0Bc3AtiKAXBAiIIEW3""]",480,360,tos-cn-i-dy/b9eb8446d06045d3a34c6e742167c114,"[""tos-cn-i-dy/b9eb8446d06045d3a34c6e742167c114""]",720,720,720,720,,,,,,,,
7599338339879161103,2026-05-07 18:35:42.340998,image-cut-tos-priv/529437cb43f3f97c8c6e04a37c998e4e,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oIgQZx8A3EAi4fDeIeWajPiAPYIfZGBXABBAff,"[""tos-cn-p-0015/oIgQZx8A3EAi4fDeIeWajPiAPYIfZGBXABBAff""]",640,360,tos-cn-i-dy/1c5b704f721b4f219decb9d52e33dc09,"[""tos-cn-i-dy/1c5b704f721b4f219decb9d52e33dc09""]",720,720,720,720,,,,,,,,
7599584567191768339,2026-05-07 18:35:45.359685,image-cut-tos-priv/4e66f1615674740b2f7df6cf2b745563,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oYAn1pyBihAEADF950IBBaAN9JgfrCe3mpdIgD,"[""tos-cn-p-0015/oYAn1pyBihAEADF950IBBaAN9JgfrCe3mpdIgD""]",360,640,tos-cn-i-dy/28bfc2ca317643bd9e0d62bfbe68dde4,"[""tos-cn-i-dy/28bfc2ca317643bd9e0d62bfbe68dde4""]",720,720,720,720,,,,,,,,
7599638774682799410,2026-05-07 18:35:53.698681,,,,,,,,,,,,,300,318,,,,,,,,
7599951353565269282,2026-05-07 18:35:56.633573,,,,,,,,,,,,,300,318,,,,,,,,
7599988168464665910,2026-05-07 18:35:59.085951,,,,,,,,,,,,,300,318,,,,,,,,
7600005088882593058,2026-05-07 18:36:01.361373,image-cut-tos-priv/b32ef9b0e941dd56305e719788de656e,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oMLBPNDfFBm2eSxYZ7kYACTBkrMQQEBfASKvLE,"[""tos-cn-p-0015/oMLBPNDfFBm2eSxYZ7kYACTBkrMQQEBfASKvLE""]",640,360,tos-cn-i-dy/b0a9604bd30444499e1586e18f1a9f1f,"[""tos-cn-i-dy/b0a9604bd30444499e1586e18f1a9f1f""]",720,720,720,720,,,,,,,,
7600020776472825142,2026-05-07 18:36:09.281858,image-cut-tos-priv/e5af59ed57fb836bf0c857f04b4341ab,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oEessArGSBBDvO64CqFEAKDABeA76ibII6fkGL,"[""tos-cn-p-0015/oEessArGSBBDvO64CqFEAKDABeA76ibII6fkGL""]",553,360,tos-cn-i-dy/8954c8f76d4b4bcfab4cf51344ab1cb3,"[""tos-cn-i-dy/8954c8f76d4b4bcfab4cf51344ab1cb3""]",720,720,720,720,,,,,,,,
7600042552905337152,2026-05-07 18:36:12.487384,image-cut-tos-priv/a6a60f8888c033855f2f5deee48d8156,"[""https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=A5ZURgHe7ug26w8jMH4oWntpCJU%3D&from=327834062""]",,,tos-cn-p-0015/okI24vCPIjOIhzGsQwXiYianCIBaLXAGARGIx,"[""tos-cn-p-0015/okI24vCPIjOIhzGsQwXiYianCIBaLXAGARGIx""]",360,640,tos-cn-i-0813c001/o88OjxfM4ICX6oaIAQHAfAAePfmANlSlMD2xQD,"[""tos-cn-i-0813c001/o88OjxfM4ICX6oaIAQHAfAAePfmANlSlMD2xQD""]",720,720,720,720,,,,,,,,
7600315793322085659,2026-05-07 18:36:19.351428,,,,,,,,,,,,,300,318,,,,,,,,
