video_id,crawl_time,cover_uri,cover_url_list,cover_width,cover_height,origin_cover_uri,origin_cover_url_list,origin_cover_width,origin_cover_height,dynamic_cover_uri,dynamic_cover_url_list,dynamic_cover_width,dynamic_cover_height,video_width,video_height,video_format,video_ratio,is_h265,is_long_video,has_watermark,bit_rate_raw,big_thumbs_raw,video_meta_raw
7617370563069234473,2026-05-10 19:51:59.110375,image-cut-tos-priv/a5b2fb1797649da8d1c956cb1be04854,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/oEV1vinAiI2IgHtvl2fVSCeA9ElNpBCIABgmB5,"[""tos-cn-p-0015/oEV1vinAiI2IgHtvl2fVSCeA9ElNpBCIABgmB5""]",640,360,tos-cn-i-dy/5ca885d1cc1640d4bc7fd2924594feff,"[""tos-cn-i-dy/5ca885d1cc1640d4bc7fd2924594feff""]",720,720,720,720,,,,,,,,
7617451665578413321,2026-05-10 19:56:29.479501,image-cut-tos-priv/618b2e07170b93923717abc4447ae26f,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/o4fTgx7lB3DbwttE0PFlfQ6fB0GkQACiTNDauA,"[""tos-cn-p-0015/o4fTgx7lB3DbwttE0PFlfQ6fB0GkQACiTNDauA""]",640,360,tos-cn-i-dy/52a8fb9edc8e4e9da94615ea3280311c,"[""tos-cn-i-dy/52a8fb9edc8e4e9da94615ea3280311c""]",720,720,720,720,,,,,,,,
7617422657088163112,2026-05-10 19:54:40.478633,image-cut-tos-priv/43a95fc56eeedf233f0acca68d6d46be,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/oECoZ7ee7TITGEB3CQG2zlLQfZgbAANQyYhXQB,"[""tos-cn-p-0015/oECoZ7ee7TITGEB3CQG2zlLQfZgbAANQyYhXQB""]",480,360,tos-cn-i-dy/1d2b52a9c56b41e4a9da0515d6ce3fef,"[""tos-cn-i-dy/1d2b52a9c56b41e4a9da0515d6ce3fef""]",720,720,720,720,,,,,,,,
7617423541679476019,2026-05-10 19:54:43.283807,image-cut-tos-priv/b9c5796d20f96217a27e04ebeec4f960,"[""https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=MDmnCoipdIlaw2IDlfBSuUulOLU%3D&from=327834062""]",,,tos-cn-p-0015/oocgggLkRAEPfYeaBAGAgibQ7rTAGCbBkQIVel,"[""tos-cn-p-0015/oocgggLkRAEPfYeaBAGAgibQ7rTAGCbBkQIVel""]",640,360,tos-cn-i-dy/b540502bb880425cb373724c05a95215,"[""tos-cn-i-dy/b540502bb880425cb373724c05a95215""]",720,720,720,720,,,,,,,,
7617430500852535525,2026-05-10 19:55:00.764521,image-cut-tos-priv/65e94dd30bebfe6332c222d6bb39f56f,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015c000-ce/oIOIAw6hiiAPq2BwIegBeovE0CjuY5021EHfCL,"[""tos-cn-p-0015c000-ce/oIOIAw6hiiAPq2BwIegBeovE0CjuY5021EHfCL""]",640,360,tos-cn-p-0015c000-ce/o0he52iqvHP8q2eLAHYojnwIBfAUiECCEC500I,"[""tos-cn-p-0015c000-ce/o0he52iqvHP8q2eLAHYojnwIBfAUiECCEC500I""]",720,720,720,720,,,,,,,,
7627789716246531379,2026-05-11 09:41:05.546824,image-cut-tos-priv/daa0605a0b2b5caf682d93777193d1ca,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779670800&x-signature=svGK81%2B8zHnOQW5Z%2ByYsQ9BwyNw%3D&from=327834062""]",,,tos-cn-p-0015/oA08DYbJ7BtIaAie8ApI9mHAu7AkgsfjazWBim,"[""tos-cn-p-0015/oA08DYbJ7BtIaAie8ApI9mHAu7AkgsfjazWBim""]",640,360,tos-cn-i-dy/2b506c2588b846478720107de2adcdd3,"[""tos-cn-i-dy/2b506c2588b846478720107de2adcdd3""]",720,720,720,720,,,,,,,,
7617432814597770550,2026-05-10 19:55:14.767337,image-cut-tos-priv/32498179e0d1ae49b281925e80b85abd,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/oMhpgN58LAEhA97wgIFgtjDDcfceIvoEAABO2I,"[""tos-cn-p-0015/oMhpgN58LAEhA97wgIFgtjDDcfceIvoEAABO2I""]",553,360,tos-cn-i-dy/d0f30c053e3f46f7b06c2d7c6fc9364a,"[""tos-cn-i-dy/d0f30c053e3f46f7b06c2d7c6fc9364a""]",720,720,720,720,,,,,,,,
7617433250180998250,2026-05-10 19:55:19.671865,image-cut-tos-priv/9820f672d418ab14f26fce3310c8f171,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/oExxIEONfDA0jXaLYRFeB7TDKBdATCubIjfE2E,"[""tos-cn-p-0015/oExxIEONfDA0jXaLYRFeB7TDKBdATCubIjfE2E""]",640,360,tos-cn-p-0015/oUNXIXCTBA9IiK7OXER1fDTA2fpDbFexREdjjB,"[""tos-cn-p-0015/oUNXIXCTBA9IiK7OXER1fDTA2fpDbFexREdjjB""]",720,720,720,720,,,,,,,,
7617436714164876011,2026-05-10 19:55:44.213598,image-cut-tos-priv/beaa8e908d49393eccec22ce2cdb96f4,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/o0iQK5B5ADJtlD9tL2FlgIQE9AwfEhZfAMBpHp,"[""tos-cn-p-0015/o0iQK5B5ADJtlD9tL2FlgIQE9AwfEhZfAMBpHp""]",360,640,tos-cn-p-0015/ocBwkppqfABvF5DZAlh2IiQglF9kptge9DEQA2,"[""tos-cn-p-0015/ocBwkppqfABvF5DZAlh2IiQglF9kptge9DEQA2""]",720,720,720,720,,,,,,,,
7617439906226343183,2026-05-10 19:56:06.111520,image-cut-tos-priv/1ca495f8f3406b49ccc65a7c4a206f39,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779620400&x-signature=I7Nmirj4Jy2OT9wSc4%2Fcjb6ZeHQ%3D&from=327834062""]",,,tos-cn-p-0015/o02QqmnfBGKbBGytJ2LFARQI7AWyAeTeBGCTYS,"[""tos-cn-p-0015/o02QqmnfBGKbBGytJ2LFARQI7AWyAeTeBGCTYS""]",640,360,tos-cn-i-dy/86a903e40ff0484e86221983949ac0aa,"[""tos-cn-i-dy/86a903e40ff0484e86221983949ac0aa""]",720,720,720,720,,,,,,,,
