source_video_id,related_video_id,related_rank_position,related_author_id,related_author_sec_uid,related_author_nickname,related_caption,related_create_time,related_duration_ms,related_media_type,related_digg_count,related_comment_count,related_share_count,related_collect_count,related_play_count,related_cover_url_list,related_music_id,related_music_title,related_text_extra_raw,related_video_tag_raw,related_chapter_abstract,crawl_time
7624873382114282803,REL796560443700367085,0,444489655354,,推荐作者_489,相关推荐视频 — 来自 青樱格格 的相关内容 #1,1775390186,1000,4,10153,188,2632,9756,368140,[],6827706130679010871,,,"[{""tag_id"": ""TAG_GAMING"", ""tag_name"": ""游戏"", ""tag_level"": 1}]",,2026-04-27 15:03:29.419272
7624873382114282803,REL807457874749258520,1,136832496348,,推荐作者_784,相关推荐视频 — 来自 青樱格格 的相关内容 #2,1775388320,1000,4,22574,365,4633,7815,322288,[],6827706130679010871,,,"[{""tag_id"": ""TAG_ENTERTAINMENT"", ""tag_name"": ""娱乐"", ""tag_level"": 1}, {""tag_id"": ""TAG_EDUCATION"", ""tag_name"": ""知识科普"", ""tag_level"": 2}]",,2026-04-27 15:03:29.419272
7624873382114282803,REL840485451943746983,2,448980056839,,推荐作者_504,相关推荐视频 — 来自 青樱格格 的相关内容 #3,1775327681,1000,4,44405,127,4291,8276,139103,[],6827706130679010871,,,"[{""tag_id"": ""TAG_GAMING"", ""tag_name"": ""游戏"", ""tag_level"": 1}]",,2026-04-27 15:03:29.419272
7624873382114282803,REL782278966076836494,3,360980708448,,推荐作者_667,相关推荐视频 — 来自 青樱格格 的相关内容 #4,1775311909,1022,4,48537,1355,3891,7598,98124,[],6827706130679010871,,,"[{""tag_id"": ""TAG_LIFESTYLE"", ""tag_name"": ""生活记录"", ""tag_level"": 1}]",,2026-04-27 15:03:29.419272
7624873382114282803,REL520048903354330786,4,53365728129,,推荐作者_591,相关推荐视频 — 来自 青樱格格 的相关内容 #5,1775320459,1000,4,46134,1489,1833,9675,206014,[],6827706130679010871,,,"[{""tag_id"": ""TAG_TRAVEL"", ""tag_name"": ""旅行"", ""tag_level"": 1}, {""tag_id"": ""TAG_TECHNOLOGY"", ""tag_name"": ""科技"", ""tag_level"": 2}]",,2026-04-27 15:03:29.419272
7624873382114282803,REL433413735431382010,5,474860253163,,推荐作者_392,相关推荐视频 — 来自 青樱格格 的相关内容 #6,1775383957,1000,4,9554,1372,2378,3301,114227,[],6827706130679010871,,,"[{""tag_id"": ""TAG_TRAVEL"", ""tag_name"": ""旅行"", ""tag_level"": 1}, {""tag_id"": ""TAG_GAMING"", ""tag_name"": ""游戏"", ""tag_level"": 2}]",,2026-04-27 15:03:29.419272
7625140333864586559,REL702832595214259322,0,442780399683,,推荐作者_244,相关推荐视频 — 来自 小岳来了24 的相关内容 #1,1775473235,1291,4,4951,624,3839,8322,218173,[],6826291618422991346,,,"[{""tag_id"": ""TAG_FOOD"", ""tag_name"": ""美食"", ""tag_level"": 1}]",,2026-04-27 15:03:44.201186
7625140333864586559,REL448730541127157090,1,295444822890,,推荐作者_823,相关推荐视频 — 来自 小岳来了24 的相关内容 #2,1775414516,1000,4,34156,1665,999,8048,4673,[],6826291618422991346,,,"[{""tag_id"": ""TAG_TRAVEL"", ""tag_name"": ""旅行"", ""tag_level"": 1}, {""tag_id"": ""TAG_TRAVEL"", ""tag_name"": ""旅行"", ""tag_level"": 2}]",,2026-04-27 15:03:44.201186
7625140333864586559,REL808231939751924556,2,668202348026,,推荐作者_523,相关推荐视频 — 来自 小岳来了24 的相关内容 #3,1775460611,1392,4,27826,917,2528,5687,19593,[],6826291618422991346,,,"[{""tag_id"": ""TAG_TRAVEL"", ""tag_name"": ""旅行"", ""tag_level"": 1}, {""tag_id"": ""TAG_PETS"", ""tag_name"": ""萌宠"", ""tag_level"": 2}]",,2026-04-27 15:03:44.201186
7625140333864586559,REL203077066182376129,3,671718932172,,推荐作者_225,相关推荐视频 — 来自 小岳来了24 的相关内容 #4,1775455588,1122,4,23607,158,3824,5746,317724,[],6826291618422991346,,,"[{""tag_id"": ""TAG_TRAVEL"", ""tag_name"": ""旅行"", ""tag_level"": 1}, {""tag_id"": ""TAG_PETS"", ""tag_name"": ""萌宠"", ""tag_level"": 2}]",,2026-04-27 15:03:44.201186
7625140333864586559,REL598221460592196320,4,563615089137,,推荐作者_814,相关推荐视频 — 来自 小岳来了24 的相关内容 #5,1775420891,1000,4,17440,873,4913,2145,138997,[],6826291618422991346,,,"[{""tag_id"": ""TAG_FOOD"", ""tag_name"": ""美食"", ""tag_level"": 1}]",,2026-04-27 15:03:44.201186
7625140333864586559,REL868062765941349569,5,241600091006,,推荐作者_467,相关推荐视频 — 来自 小岳来了24 的相关内容 #6,1775472145,1000,4,3009,1835,1467,4343,331296,[],6826291618422991346,,,"[{""tag_id"": ""TAG_TECHNOLOGY"", ""tag_name"": ""科技"", ""tag_level"": 1}, {""tag_id"": ""TAG_SPORTS"", ""tag_name"": ""运动"", ""tag_level"": 2}, {""tag_id"": ""TAG_FASHION"", ""tag_name"": ""时尚"", ""tag_level"": 3}]",,2026-04-27 15:03:44.201186
