id_value,train_count,val_count,test_count,total_count,in_train,in_val,in_test,field
ce51a7ed-c061-cd0f-3ccd-ac475ed9d389,32,9,10,51,True,True,True,author_id
e5d8d2b5-334f-e1a3-3d57-524081e00209,26,2,4,32,True,True,True,author_id
6ab3a285-ce72-5f7e-690b-88687af1d83d,26,3,5,34,True,True,True,author_id
90149a62-488b-8acc-b949-7b7c28df43fb,24,1,2,27,True,True,True,author_id
317c87f6-22b6-4ddc-732b-998fd52d72d8,20,3,6,29,True,True,True,author_id
1d7b682d-17b0-4351-a44c-15830d7b7ff6,19,5,3,27,True,True,True,author_id
48eef3b9-6d1f-bb04-5f49-9f747e39e093,19,2,4,25,True,True,True,author_id
820fed04-7128-867b-8347-1a85381eb124,18,2,2,22,True,True,True,author_id
8187891e-6ae1-4994-9bff-db7823eee774,18,2,4,24,True,True,True,author_id
93d47f8d-1e54-677d-e6be-bba023efeee1,18,2,3,23,True,True,True,author_id
f98bde36-4271-5d01-813e-c71891bfc5a1,16,3,5,24,True,True,True,author_id
976789eb-b086-c760-761f-237ba0dab7c0,16,1,1,18,True,True,True,author_id
b2332ea9-a0b8-40ab-fbcd-4d5f53f18253,15,4,1,20,True,True,True,author_id
aac87958-fee0-6b58-8b18-e68566377c82,15,0,5,20,True,False,True,author_id
2ce503f0-b65e-6724-d9af-abef700b6c96,14,4,1,19,True,True,True,author_id
90058d41-98de-4667-54eb-dd461d229941,14,4,1,19,True,True,True,author_id
609b7860-9078-208f-79d5-bfbda657c7de,13,4,5,22,True,True,True,author_id
430d109d-f5c7-fa5a-91de-5a8a346f6607,13,4,2,19,True,True,True,author_id
2dda6320-f37d-6431-2cd1-f10e90b72a1a,13,3,3,19,True,True,True,author_id
d778385a-df57-a259-77f9-9a9d9a742173,13,3,5,21,True,True,True,author_id
c442139c-ea68-522a-32cd-376aab6ee4c8,13,3,3,19,True,True,True,author_id
ae1e90f6-7023-0c27-48dd-880ce053f11e,12,3,1,16,True,True,True,author_id
b2e7d06c-4ee7-1cf3-cad1-89b8b4607a7e,12,3,3,18,True,True,True,author_id
c0d5c7fa-2419-239c-e453-e7b95f96b4ae,11,2,2,15,True,True,True,author_id
3ae252d6-b5b3-daac-de24-a8c7a0fe74ec,11,1,3,15,True,True,True,author_id
27bf3b7b-7003-d7ae-4336-9a988eb279ff,11,6,7,24,True,True,True,author_id
b5789074-b8a5-7455-960e-20c5239efd00,11,0,1,12,True,False,True,author_id
1aef3fb4-2ff9-2d91-d9bc-f3b8f22add11,10,2,6,18,True,True,True,author_id
98e3a78a-c603-db90-31bd-150249b76763,10,2,2,14,True,True,True,author_id
9c21da20-9a1c-b4b4-24ff-ee1a8b82881e,10,2,2,14,True,True,True,author_id
3b7767f7-eef7-b9f4-63f0-70376a03ce78,9,4,1,14,True,True,True,author_id
a83aad85-d0ec-9322-5a7f-fcaa8f0c7f33,9,2,3,14,True,True,True,author_id
6cbd0d8a-0394-4cb4-8d75-9bb1174ffbcc,9,2,2,13,True,True,True,author_id
4403bca0-b308-31d0-fc24-660654f06f9a,9,3,1,13,True,True,True,author_id
f456e546-a9dd-8f2e-985e-ac2a70cd8628,9,0,2,11,True,False,True,author_id
77602af7-7dbb-6179-9a78-93ea2ad9b30e,8,1,1,10,True,True,True,author_id
237d36e3-a8c1-f71f-377b-c207256fb8c0,8,2,1,11,True,True,True,author_id
6e0b59f2-7cdd-93cb-48dc-e9b15781b131,8,4,1,13,True,True,True,author_id
b5c1540c-26da-737b-ac3e-ba2c5fe6014b,7,0,1,8,True,False,True,author_id
f165a5fd-6ec7-4f27-81ff-3447ecb8fd58,7,1,0,8,True,True,False,author_id
ddfae13e-ea57-78cb-7353-950d9d5d860b,7,0,2,9,True,False,True,author_id
422d27a9-4aa7-c51f-2ff0-e2d4d2ea5ff8,6,3,0,9,True,True,False,author_id
358894106853232,6,0,3,9,True,False,True,author_id
9adeee7e-e87e-aedc-52ed-028b2addfc33,6,0,0,6,True,False,False,author_id
3ae04aa4-c781-5a79-5e54-32f907627d59,6,1,2,9,True,True,True,author_id
4cd7cccc-700b-d4d7-520c-40061bb33336,5,0,1,6,True,False,True,author_id
f217151b-1822-066e-88cd-0c9f92d986d4,5,1,0,6,True,True,False,author_id
2657967125823820,5,0,0,5,True,False,False,author_id
ef719e1b-2c72-7e71-cd8a-2667eb6604e3,5,2,1,8,True,True,True,author_id
ee8d9764-cb0c-6c39-55e6-177ca3b8b645,5,4,3,12,True,True,True,author_id
ea2238ad-678f-6ac0-c331-49b4a607c28f,5,1,1,7,True,True,True,author_id
0153b274-b17a-1cca-0b58-68bd29bc27f8,5,0,0,5,True,False,False,author_id
9fe694af-4d1f-a92a-7e29-df4ec70521b4,5,0,0,5,True,False,False,author_id
1abcb671-90de-88bc-41bf-06ccbadbada2,4,0,0,4,True,False,False,author_id
7542343451725448249,4,1,0,5,True,True,False,author_id
7488269273815761980,4,0,0,4,True,False,False,author_id
4453497454202109,4,0,0,4,True,False,False,author_id
d84764a6-9b56-52c6-649e-1eecc4e2ea46,4,0,1,5,True,False,True,author_id
2ca1f3c7-3ae7-6e72-39b6-cfb12ad722ef,4,4,4,12,True,True,True,author_id
d1a69e41-12a8-fcf4-1504-e06cf2d3acfe,4,1,0,5,True,True,False,author_id
ec114b81-4dd7-88b2-67c9-9c48c3ec202f,4,2,0,6,True,True,False,author_id
15cea7e2-ba33-b7f2-01d1-15552e49ca13,4,0,0,4,True,False,False,author_id
436db47e-bc99-8209-f718-4c4d2907b31e,4,0,1,5,True,False,True,author_id
100061957495,4,0,1,5,True,False,True,author_id
699731334413051,4,0,0,4,True,False,False,author_id
