model_name,run_id,k,effective_k,precision_at_k,recall_at_k,topk_positive_count,eval_positive_count,sample_count
dnn,202605081636,5,5,1.0,0.08333333333333333,5,60,150
dnn,202605081636,10,10,1.0,0.16666666666666666,10,60,150
dnn,202605081636,20,20,1.0,0.3333333333333333,20,60,150
wide_deep,202605081746,5,5,1.0,0.08333333333333333,5,60,150
wide_deep,202605081746,10,10,1.0,0.16666666666666666,10,60,150
wide_deep,202605081746,20,20,1.0,0.3333333333333333,20,60,150
graphsage,202605081828,5,5,1.0,0.08333333333333333,5,60,150
graphsage,202605081828,10,10,1.0,0.16666666666666666,10,60,150
graphsage,202605081828,20,20,1.0,0.3333333333333333,20,60,150
multimodal,202605081927,5,5,1.0,0.08333333333333333,5,60,150
multimodal,202605081927,10,10,1.0,0.16666666666666666,10,60,150
multimodal,202605081927,20,20,1.0,0.3333333333333333,20,60,150
