node_id,raw_id,node_type,is_main_video,is_related_only_video,has_label,label,split
0,7624873382114282803,video,yes,no,yes,0,train
1,7625140333864586559,video,yes,no,yes,0,eval
2,7625266759122124394,video,yes,no,yes,1,eval
3,7625382302234791183,video,yes,no,yes,1,train
4,7625492021486144777,video,yes,no,yes,0,train
5,7625531481825330537,video,yes,no,yes,1,train
6,7625546845988749440,video,yes,no,yes,0,eval
7,7625929057691078053,video,yes,no,yes,1,eval
8,7625931818142878995,video,yes,no,yes,0,train
9,7625943440111941754,video,yes,no,yes,0,train
10,7625983892776400448,video,yes,no,yes,0,train
11,7626039783856311604,video,yes,no,yes,0,train
12,7626119147679665427,video,yes,no,yes,1,train
13,7626232419351317796,video,yes,no,yes,1,train
14,7626285740250418473,video,yes,no,yes,0,train
15,7626294890775145403,video,yes,no,yes,0,train
16,7626305366351007011,video,yes,no,yes,1,train
17,7626584955816021274,video,yes,no,yes,1,train
18,7626684177663986971,video,yes,no,yes,0,train
19,7626700596619348401,video,yes,no,yes,0,train
