source_node_id,target_node_id,source_raw_id,target_raw_id,edge_type,is_reverse
0,22741,video::6773901168964798477,author::4403bca0-b308-31d0-fc24-660654f06f9a,video_author,False
22741,0,author::4403bca0-b308-31d0-fc24-660654f06f9a,video::6773901168964798477,video_author,True
1,22741,video::6773906068725565448,author::4403bca0-b308-31d0-fc24-660654f06f9a,video_author,False
22741,1,author::4403bca0-b308-31d0-fc24-660654f06f9a,video::6773906068725565448,video_author,True
2,22857,video::7607376335287209262,author::c442139c-ea68-522a-32cd-376aab6ee4c8,video_author,False
22857,2,author::c442139c-ea68-522a-32cd-376aab6ee4c8,video::7607376335287209262,video_author,True
3,22760,video::7611807147693480123,author::988315dc-d448-59d3-14fa-960c38a1b01a,video_author,False
22760,3,author::988315dc-d448-59d3-14fa-960c38a1b01a,video::7611807147693480123,video_author,True
4,22764,video::7612702711930277162,author::bf395850-2b8c-ab36-37e2-2fb029baba3b,video_author,False
22764,4,author::bf395850-2b8c-ab36-37e2-2fb029baba3b,video::7612702711930277162,video_author,True
5,22896,video::7621563134427385115,author::ce51a7ed-c061-cd0f-3ccd-ac475ed9d389,video_author,False
22896,5,author::ce51a7ed-c061-cd0f-3ccd-ac475ed9d389,video::7621563134427385115,video_author,True
6,22899,video::7623811400036617514,author::8187891e-6ae1-4994-9bff-db7823eee774,video_author,False
22899,6,author::8187891e-6ae1-4994-9bff-db7823eee774,video::7623811400036617514,video_author,True
7,22733,video::7624915041154822758,author::f165a5fd-6ec7-4f27-81ff-3447ecb8fd58,video_author,False
22733,7,author::f165a5fd-6ec7-4f27-81ff-3447ecb8fd58,video::7624915041154822758,video_author,True
8,22727,video::7625487788040850730,author::421c8d5b-8887-87b2-116e-6496f24f67de,video_author,False
22727,8,author::421c8d5b-8887-87b2-116e-6496f24f67de,video::7625487788040850730,video_author,True
9,22685,video::7626374941507734799,author::2dda6320-f37d-6431-2cd1-f10e90b72a1a,video_author,False
22685,9,author::2dda6320-f37d-6431-2cd1-f10e90b72a1a,video::7626374941507734799,video_author,True
10,22679,video::7627315188374441226,author::f456e546-a9dd-8f2e-985e-ac2a70cd8628,video_author,False
22679,10,author::f456e546-a9dd-8f2e-985e-ac2a70cd8628,video::7627315188374441226,video_author,True
11,22834,video::7603997807167866276,author::98e3a78a-c603-db90-31bd-150249b76763,video_author,False
22834,11,author::98e3a78a-c603-db90-31bd-150249b76763,video::7603997807167866276,video_author,True
12,22761,video::7611611279710539049,author::c58ba91d-29ee-b189-5fd1-a22be33a42c1,video_author,False
22761,12,author::c58ba91d-29ee-b189-5fd1-a22be33a42c1,video::7611611279710539049,video_author,True
13,22693,video::7624795200761695503,author::436db47e-bc99-8209-f718-4c4d2907b31e,video_author,False
22693,13,author::436db47e-bc99-8209-f718-4c4d2907b31e,video::7624795200761695503,video_author,True
14,22772,video::7609532257409174803,author::2ce503f0-b65e-6724-d9af-abef700b6c96,video_author,False
22772,14,author::2ce503f0-b65e-6724-d9af-abef700b6c96,video::7609532257409174803,video_author,True
15,22738,video::7629294752583765300,author::d84764a6-9b56-52c6-649e-1eecc4e2ea46,video_author,False
22738,15,author::d84764a6-9b56-52c6-649e-1eecc4e2ea46,video::7629294752583765300,video_author,True
16,22230,video::7289747189515980067,author::59639995221,video_author,False
22230,16,author::59639995221,video::7289747189515980067,video_author,True
17,22229,video::7309857450302213376,author::73976690418,video_author,False
22229,17,author::73976690418,video::7309857450302213376,video_author,True
18,19453,video::7396829450211446050,author::3356127992753198,video_author,False
19453,18,author::3356127992753198,video::7396829450211446050,video_author,True
19,21459,video::7427381362337778980,author::160941723098760,video_author,False
21459,19,author::160941723098760,video::7427381362337778980,video_author,True
20,21460,video::7434082518397226249,author::2931726622135948,video_author,False
21460,20,author::2931726622135948,video::7434082518397226249,video_author,True
21,19450,video::7444105017394482482,author::102334023579,video_author,False
19450,21,author::102334023579,video::7444105017394482482,video_author,True
22,21463,video::7444362506467872027,author::3945471974594237,video_author,False
21463,22,author::3945471974594237,video::7444362506467872027,video_author,True
23,22226,video::7446264878886554895,author::73137327069,video_author,False
22226,23,author::73137327069,video::7446264878886554895,video_author,True
24,21464,video::7446279061011303732,author::888017306269767,video_author,False
21464,24,author::888017306269767,video::7446279061011303732,video_author,True
