node_id,raw_id,node_type,is_main_video,is_related_only_video,has_label,label,split
0,6773901168964798477,video,yes,no,yes,0,test
1,6773906068725565448,video,yes,no,yes,0,train
2,7607376335287209262,video,yes,no,yes,0,train
3,7611807147693480123,video,yes,no,yes,0,train
4,7612702711930277162,video,yes,no,yes,0,train
5,7621563134427385115,video,yes,no,yes,0,test
6,7623811400036617514,video,yes,no,yes,0,train
7,7624915041154822758,video,yes,no,yes,0,train
8,7625487788040850730,video,yes,no,yes,0,train
9,7626374941507734799,video,yes,no,yes,0,test
10,7627315188374441226,video,yes,no,yes,0,train
11,7603997807167866276,video,yes,no,yes,0,train
12,7611611279710539049,video,yes,no,yes,0,train
13,7624795200761695503,video,yes,no,yes,0,test
14,7609532257409174803,video,yes,no,yes,1,train
15,7629294752583765300,video,yes,no,yes,0,train
16,7289747189515980067,video,yes,no,yes,1,train
17,7309857450302213376,video,yes,no,yes,0,train
18,7396829450211446050,video,yes,no,yes,0,train
19,7427381362337778980,video,yes,no,yes,1,train
