sample_id,video_id,author_id,label,split,combined_text_length,visual_non_null_count,structured_non_null_count
6773906068725565448,6773906068725565448,4403bca0-b308-31d0-fc24-660654f06f9a,0,train,45,7,33
7289747189515980067,7289747189515980067,59639995221,1,train,227,17,33
7309857450302213376,7309857450302213376,73976690418,0,train,114,17,33
7361427727863385359,7361427727863385359,3338538583337303,0,train,59,17,33
7396829450211446050,7396829450211446050,3356127992753198,0,train,297,17,33
7427381362337778980,7427381362337778980,160941723098760,1,train,194,17,33
7436607919690484992,7436607919690484992,2fb61432-139a-24a3-f7e6-8a66d2cec7b3,0,train,45,7,33
7444362506467872027,7444362506467872027,3945471974594237,1,train,584,17,33
7446264878886554895,7446264878886554895,73137327069,0,train,178,17,33
7446279061011303732,7446279061011303732,888017306269767,0,train,220,17,33
7454910938953698575,7454910938953698575,1429015326369028,0,train,556,17,33
7468609439512235291,7468609439512235291,66342716264,0,train,1061,17,33
7471153546663169315,7471153546663169315,3078248584453918,0,train,214,17,33
7471174464001101090,7471174464001101090,1538935081666328,1,train,442,17,33
7471634760171834659,7471634760171834659,4403bca0-b308-31d0-fc24-660654f06f9a,0,train,45,7,33
7476789346587151651,7476789346587151651,4403bca0-b308-31d0-fc24-660654f06f9a,0,train,45,7,33
7483107090936941874,7483107090936941874,2207423758342172,0,train,111,17,33
7485566382344588578,7485566382344588578,97963912656,1,train,360,17,33
7486467317828816166,7486467317828816166,4403bca0-b308-31d0-fc24-660654f06f9a,0,train,45,7,33
7509363148483267874,7509363148483267874,4403bca0-b308-31d0-fc24-660654f06f9a,0,train,45,7,33
