epoch,train_loss,eval_loss,eval_auc,eval_accuracy,eval_precision,eval_recall,eval_f1
1,0.716062,0.724298,0.6,0.375,0.375,1.0,0.5454545454545454
2,0.722229,0.720224,0.6166666666666667,0.375,0.375,1.0,0.5454545454545454
3,0.708928,0.716215,0.6666666666666666,0.375,0.375,1.0,0.5454545454545454
4,0.70057,0.712293,0.75,0.375,0.375,1.0,0.5454545454545454
5,0.694274,0.708472,0.8333333333333334,0.375,0.375,1.0,0.5454545454545454
6,0.706092,0.704713,0.8666666666666667,0.375,0.375,1.0,0.5454545454545454
7,0.690995,0.700945,0.8666666666666667,0.375,0.375,1.0,0.5454545454545454
8,0.694712,0.697197,0.9,0.375,0.375,1.0,0.5454545454545454
9,0.688594,0.693498,0.9,0.375,0.375,1.0,0.5454545454545454
10,0.683301,0.689662,0.9166666666666667,0.375,0.375,1.0,0.5454545454545454
11,0.675641,0.685559,0.9333333333333333,0.375,0.375,1.0,0.5454545454545454
12,0.673817,0.681265,0.9500000000000001,0.375,0.375,1.0,0.5454545454545454
13,0.662311,0.676895,0.9500000000000001,0.375,0.375,1.0,0.5454545454545454
14,0.654871,0.672467,0.9500000000000001,0.375,0.375,1.0,0.5454545454545454
15,0.644687,0.667846,0.9666666666666667,0.4375,0.4,1.0,0.5714285714285714
16,0.65407,0.663063,0.9666666666666667,0.4375,0.4,1.0,0.5714285714285714
17,0.644949,0.658143,0.9666666666666667,0.5,0.42857142857142855,1.0,0.6
18,0.651523,0.653162,0.9666666666666667,0.625,0.5,1.0,0.6666666666666666
19,0.631723,0.648062,0.9666666666666667,0.625,0.5,1.0,0.6666666666666666
20,0.637952,0.642714,0.9666666666666667,0.6875,0.5454545454545454,1.0,0.7058823529411765
