epoch,train_loss,eval_loss,eval_auc,eval_accuracy,eval_precision,eval_recall,eval_f1
1,33821.300781,33428.621094,0.5,0.625,0.0,0.0,0.0
2,21311.669922,5933.93457,0.43333333333333335,0.5,0.25,0.16666666666666666,0.2
3,6674.143066,5809.990723,0.5,0.375,0.375,1.0,0.5454545454545454
4,3431.536865,10129.416016,0.5,0.375,0.375,1.0,0.5454545454545454
5,6473.755371,12952.708984,0.5,0.375,0.375,1.0,0.5454545454545454
6,7426.160156,14664.917969,0.5,0.375,0.375,1.0,0.5454545454545454
7,9776.15918,15494.111328,0.5,0.375,0.375,1.0,0.5454545454545454
8,9078.107422,15664.602539,0.5,0.375,0.375,1.0,0.5454545454545454
9,10210.129883,15307.137695,0.5,0.375,0.375,1.0,0.5454545454545454
10,8141.588867,14564.257812,0.55,0.4375,0.4,1.0,0.5714285714285714
11,7005.975586,13684.345703,0.55,0.4375,0.4,1.0,0.5714285714285714
12,7648.198242,12577.46875,0.6,0.5,0.42857142857142855,1.0,0.6
13,7069.04248,11312.601562,0.6,0.5,0.42857142857142855,1.0,0.6
14,6740.881348,9867.401367,0.6,0.5,0.42857142857142855,1.0,0.6
15,6352.749023,8310.802734,0.6,0.5,0.42857142857142855,1.0,0.6
16,4734.830566,6708.143555,0.65,0.5,0.42857142857142855,1.0,0.6
17,5035.925781,5049.645508,0.65,0.5625,0.46153846153846156,1.0,0.631578947368421
18,4974.313965,3518.794434,0.65,0.5625,0.46153846153846156,1.0,0.631578947368421
19,3730.161865,2259.856445,0.75,0.6875,0.5454545454545454,1.0,0.7058823529411765
20,4039.656982,1400.167114,0.8,0.75,0.6,1.0,0.75
