preset,k,alpha,beta,gamma,mean_relevance_score,mean_relevance_score_delta,mean_relevance_score_delta_pct,positive_rate,positive_rate_delta,positive_rate_delta_pct,precision,precision_delta,precision_delta_pct,ndcg,ndcg_delta,ndcg_delta_pct,author_diversity,author_diversity_delta,author_diversity_delta_pct,hashtag_diversity,hashtag_diversity_delta,hashtag_diversity_delta_pct,region_diversity,region_diversity_delta,region_diversity_delta_pct,coverage_author,coverage_author_delta,coverage_author_delta_pct,coverage_hashtag,coverage_hashtag_delta,coverage_hashtag_delta_pct,coverage_region,coverage_region_delta,coverage_region_delta_pct,novelty_mean,novelty_mean_delta,novelty_mean_delta_pct,recommendation_flag
baseline,10,1.0,0.0,0.0,0.980826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0155,0.0,0.0,0.019,0.0,0.0,0.2,0.0,0.0,0.8632,0.0,0.0,baseline
baseline,20,1.0,0.0,0.0,0.943782,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9974,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.0309,0.0,0.0,0.0411,0.0,0.0,0.2,0.0,0.0,0.9038,0.0,0.0,baseline
baseline,50,1.0,0.0,0.0,0.850078,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.978,0.0,0.0,0.96,0.0,0.0,0.76,0.0,0.0,0.02,0.0,0.0,0.0742,0.0,0.0,0.1203,0.0,0.0,0.2,0.0,0.0,0.8546,0.0,0.0,baseline
diversity_light,10,1.0,0.05,0.0,0.980826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0155,0.0,0.0,0.019,0.0,0.0,0.2,0.0,0.0,0.8632,0.0,0.0,ineffective
diversity_light,20,1.0,0.05,0.0,0.943782,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9974,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.0309,0.0,0.0,0.0411,0.0,0.0,0.2,0.0,0.0,0.9038,0.0,0.0,ineffective
diversity_light,50,1.0,0.05,0.0,0.850078,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.978,0.0,0.0,0.96,0.0,0.0,0.76,0.0,0.0,0.02,0.0,0.0,0.0742,0.0,0.0,0.1203,0.0,0.0,0.2,0.0,0.0,0.8546,0.0,0.0,ineffective
diversity_medium,10,1.0,0.1,0.0,0.97518,-0.005645999999999929,-0.58,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.20000000000000007,33.33,0.1,0.0,0.0,0.0155,0.0,0.0,0.0253,0.0063,33.16,0.2,0.0,0.0,0.8743,0.011099999999999999,1.29,good_tradeoff
diversity_medium,20,1.0,0.1,0.0,0.943782,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9957,-0.0016999999999999238,-0.17,1.0,0.0,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.0309,0.0,0.0,0.0411,0.0,0.0,0.2,0.0,0.0,0.9038,0.0,0.0,ineffective
diversity_medium,50,1.0,0.1,0.0,0.850078,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.9769,-0.0010999999999999899,-0.11,0.96,0.0,0.0,0.76,0.0,0.0,0.02,0.0,0.0,0.0742,0.0,0.0,0.1203,0.0,0.0,0.2,0.0,0.0,0.8546,0.0,0.0,ineffective
diversity_novelty,10,1.0,0.1,0.05,0.970325,-0.010500999999999983,-1.07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9,0.30000000000000004,50.0,0.1,0.0,0.0,0.0155,0.0,0.0,0.0285,0.009500000000000001,50.0,0.2,0.0,0.0,0.8839,0.02070000000000005,2.4,good_tradeoff
diversity_novelty,20,1.0,0.1,0.05,0.940773,-0.0030090000000000394,-0.32,0.85,-0.050000000000000044,-5.56,0.85,-0.050000000000000044,-5.56,0.9965,-0.0008999999999999009,-0.09,1.0,0.0,0.0,0.7,0.04999999999999993,7.69,0.05,0.0,0.0,0.0309,0.0,0.0,0.0443,0.0032000000000000015,7.79,0.2,0.0,0.0,0.9134,0.009599999999999942,1.06,relevance_risk
diversity_novelty,50,1.0,0.1,0.05,0.850078,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.9757,-0.0022999999999999687,-0.24,0.96,0.0,0.0,0.76,0.0,0.0,0.02,0.0,0.0,0.0742,0.0,0.0,0.1203,0.0,0.0,0.2,0.0,0.0,0.8546,0.0,0.0,ineffective
