trial_id,run_id,status,val_auc,val_loss,val_accuracy,val_f1,val_precision,val_recall,test_auc,test_f1,learning_rate,weight_decay,dropout,hidden_units,batch_size,epochs,early_stopping_patience,params_json,output_dir,error_message
0,,dry_run,,,,,,,,,0.008079775183819827,0.0005416032125151468,0.31440901618668793,"[256, 128]",256,50,10,"{""learning_rate"": 0.008079775183819827, ""weight_decay"": 0.0005416032125151468, ""dropout"": 0.31440901618668793, ""hidden_units"": [256, 128], ""batch_size"": 256, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2039}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_000,
1,,dry_run,,,,,,,,,0.0012963466988990487,0.00035845907875135216,0.2627777823887364,"[128, 64]",64,50,10,"{""learning_rate"": 0.0012963466988990487, ""weight_decay"": 0.00035845907875135216, ""dropout"": 0.2627777823887364, ""hidden_units"": [128, 64], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2046}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_001,
2,,dry_run,,,,,,,,,0.00038389121087379903,0.0017873478831569925,0.20171616088635208,"[128, 64]",64,50,10,"{""learning_rate"": 0.00038389121087379903, ""weight_decay"": 0.0017873478831569925, ""dropout"": 0.20171616088635208, ""hidden_units"": [128, 64], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2053}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_002,
3,,dry_run,,,,,,,,,0.0014131901979425017,0.002150826902918321,0.2492442937684455,"[256, 128]",64,50,10,"{""learning_rate"": 0.0014131901979425017, ""weight_decay"": 0.002150826902918321, ""dropout"": 0.2492442937684455, ""hidden_units"": [256, 128], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2060}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_003,
4,,dry_run,,,,,,,,,0.0001524376130469971,6.469449497987099e-06,0.48178045164439853,"[256, 128]",256,50,10,"{""learning_rate"": 0.0001524376130469971, ""weight_decay"": 6.469449497987099e-06, ""dropout"": 0.48178045164439853, ""hidden_units"": [256, 128], ""batch_size"": 256, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2067}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_004,
5,,dry_run,,,,,,,,,0.0020461846127907946,9.494499867858644e-06,0.41505252875286625,"[128, 64]",64,50,10,"{""learning_rate"": 0.0020461846127907946, ""weight_decay"": 9.494499867858644e-06, ""dropout"": 0.41505252875286625, ""hidden_units"": [128, 64], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2074}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_005,
6,,dry_run,,,,,,,,,0.0008875244085783654,0.001990531482969186,0.12210162224505253,"[256, 128]",64,50,10,"{""learning_rate"": 0.0008875244085783654, ""weight_decay"": 0.001990531482969186, ""dropout"": 0.12210162224505253, ""hidden_units"": [256, 128], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2081}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_006,
7,,dry_run,,,,,,,,,0.001340760852864911,0.0008478148698275977,0.45163613026609917,"[256, 128]",64,50,10,"{""learning_rate"": 0.001340760852864911, ""weight_decay"": 0.0008478148698275977, ""dropout"": 0.45163613026609917, ""hidden_units"": [256, 128], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2088}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_007,
8,,dry_run,,,,,,,,,0.0013203367674065017,9.268767756480651e-05,0.45398994143681515,"[128, 64]",64,50,10,"{""learning_rate"": 0.0013203367674065017, ""weight_decay"": 9.268767756480651e-05, ""dropout"": 0.45398994143681515, ""hidden_units"": [128, 64], ""batch_size"": 64, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2095}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_008,
9,,dry_run,,,,,,,,,0.00039890781256546424,0.0001008910630989823,0.2871173092946756,"[256, 128]",128,50,10,"{""learning_rate"": 0.00039890781256546424, ""weight_decay"": 0.0001008910630989823, ""dropout"": 0.2871173092946756, ""hidden_units"": [256, 128], ""batch_size"": 128, ""epochs"": 50, ""early_stopping_patience"": 10, ""random_seed"": 2102}",D:\CodeData\Program Coding\ByteDance\RA_PTA\outputs\tuning\dnn\real_raw_5000\20260520_174218\trial_009,
