epoch,train_loss,eval_loss,eval_auc,eval_accuracy,eval_precision,eval_recall,eval_f1
1,1.229235,0.743144,0.3833333333333333,0.4375,0.4,1.0,0.5714285714285714
2,1.239626,0.738842,0.39999999999999997,0.4375,0.4,1.0,0.5714285714285714
3,1.233468,0.734481,0.39999999999999997,0.4375,0.4,1.0,0.5714285714285714
4,1.213876,0.73014,0.44999999999999996,0.4375,0.4,1.0,0.5714285714285714
5,1.206896,0.725886,0.48333333333333334,0.4375,0.4,1.0,0.5714285714285714
6,1.202818,0.721454,0.48333333333333334,0.4375,0.4,1.0,0.5714285714285714
7,1.1962,0.716986,0.5333333333333333,0.4375,0.4,1.0,0.5714285714285714
8,1.180623,0.712454,0.5666666666666667,0.4375,0.4,1.0,0.5714285714285714
9,1.188631,0.707948,0.6,0.4375,0.4,1.0,0.5714285714285714
10,1.190737,0.70328,0.6166666666666667,0.4375,0.4,1.0,0.5714285714285714
11,1.176095,0.698603,0.6333333333333333,0.4375,0.4,1.0,0.5714285714285714
12,1.171053,0.693788,0.6833333333333333,0.4375,0.4,1.0,0.5714285714285714
13,1.161205,0.688831,0.7,0.4375,0.4,1.0,0.5714285714285714
14,1.158442,0.683854,0.7166666666666667,0.4375,0.4,1.0,0.5714285714285714
15,1.142283,0.678762,0.7333333333333334,0.4375,0.4,1.0,0.5714285714285714
16,1.14197,0.67364,0.75,0.4375,0.4,1.0,0.5714285714285714
17,1.137398,0.668481,0.7666666666666666,0.4375,0.4,1.0,0.5714285714285714
18,1.115931,0.663166,0.7833333333333333,0.4375,0.4,1.0,0.5714285714285714
19,1.109042,0.657737,0.8,0.4375,0.4,1.0,0.5714285714285714
20,1.084074,0.652113,0.8,0.4375,0.4,1.0,0.5714285714285714
